numenq,sch_lev,farm_f,trad_f,exec_f,tech_f,whc_f,blc_f,noocc_f,farm_m,trad_m,exec_m,tech_m,whc_m,blc_m,noocc_m,orfr,oroecd,orother,foreign,late6,urban,male,age98,date_first,full_first,wage_first,employed_36,full_36,wage_36,experience_36,employed_60,full_60,wage_60,experience_60
306028,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,22,7,1,1328,1,1,902,29,1,1,902,53
b16880,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,19,35,1,809,1,1,787,1,1,1,787,25
304365,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,24,9,1,810,1,1,806,27,1,1,806,51
202148,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,20,16,1,930,1,1,995,20,1,1,1014,42
c06599,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,20,7,1,963,1,1,1097,29,1,1,1097,53
200583,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,19,7,1,1025,1,1,787,29,1,1,787,53
210716,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,19,7,1,945,1,1,1385,29,1,1,1385,53
311272,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,21,7,1,810,1,1,810,17,1,1,1010,40
308724,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,20,11,1,1021,1,1,854,18,1,1,1017,40
c11455,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,20,7,1,854,1,1,908,27,1,1,1067,46
213709,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,19,9,1,2134,1,1,1300,27,1,1,1300,51
b09914,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,22,12,1,1090,1,1,1159,11,1,1,1353,35
c15684,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,22,7,1,899,1,1,976,29,1,1,976,53
b12593,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,20,11,1,640,1,0,640,25,1,0,640,49
514301,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,22,2,1,871,1,1,1200,34,1,1,1200,58
316587,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,20,21,1,854,1,1,854,15,1,1,991,36
b03815,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,20,11,1,963,1,1,1183,25,1,1,1183,49
301079,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,20,8,1,871,1,1,1037,28,1,1,1037,52
